run,epoch,context,mean_support_mass,count
g0.03_d0.05_t0.01,20,<BOS> <BOS> <BOS> dream follow dream,0.0006493097343857656,3
g0.03_d0.05_t0.01,20,<BOS> <BOS> why dream is alive,0.009699452168403195,1
g0.03_d0.05_t0.01,20,<BOS> <BOS> why river is alive,0.01469807186782915,3
g0.03_d0.05_t0.01,20,<BOS> <BOS> why city is alive,0.019881226683277117,1
g0.03_d0.05_t0.01,20,<BOS> <BOS> <BOS> fire remember robot,0.022097466813784408,3
g0.03_d0.05_t0.01,20,<BOS> <BOS> <BOS> river remember river,0.03154539885393503,1
g0.03_d0.05_t0.01,20,<BOS> <BOS> <BOS> robot hear signal,0.03820723977470698,4
g0.03_d0.05_t0.01,20,<BOS> <BOS> why I am alive,0.04459942645287713,3
g0.03_d0.05_t0.01,20,<BOS> <BOS> why you are alive,0.04918800075346189,5
g0.03_d0.05_t0.01,20,<BOS> <BOS> why we are alive,0.049781444366013144,6
g0.03_d0.05_t0.01,20,<BOS> <BOS> why they are alive,0.05294487975644921,2
g0.03_d0.05_t0.01,20,<BOS> <BOS> why signal is bright,0.05619242538065211,1
g0.02_d0.05_t0.01,20,<BOS> <BOS> why dream is alive,0.0012655733609714802,1
g0.02_d0.05_t0.01,20,<BOS> <BOS> <BOS> dream follow dream,0.004482657420431856,3
g0.02_d0.05_t0.01,20,<BOS> <BOS> why dream is bright,0.005257278501053557,1
g0.02_d0.05_t0.01,20,<BOS> <BOS> why river is alive,0.005395045213101002,3
g0.02_d0.05_t0.01,20,<BOS> <BOS> <BOS> river remember river,0.010355005741582041,1
g0.02_d0.05_t0.01,20,<BOS> <BOS> <BOS> fire remember robot,0.012507280111535872,3
g0.02_d0.05_t0.01,20,<BOS> <BOS> why city is alive,0.015328641499964244,1
g0.02_d0.05_t0.01,20,"<BOS> fire break robot , again",0.018846393824699572,1
g0.02_d0.05_t0.01,20,"<BOS> river follow robot , again",0.019314409057843346,1
g0.02_d0.05_t0.01,20,<BOS> <BOS> why signal is bright,0.021068471640856488,1
g0.02_d0.05_t0.01,20,"<BOS> fire break fire , again",0.021623983342897564,1
g0.02_d0.05_t0.01,20,<BOS> <BOS> why river is bright,0.022885947374656084,3
g0.05_d0.05_t0.005,20,<BOS> <BOS> <BOS> dream follow dream,1.5874312791716062e-05,3
g0.05_d0.05_t0.005,20,<BOS> <BOS> why dream is alive,2.2679634208586778e-05,1
g0.05_d0.05_t0.005,20,<BOS> <BOS> why dream is bright,2.3671994901785445e-05,1
g0.05_d0.05_t0.005,20,<BOS> <BOS> <BOS> fire remember dream,0.00039102290220811186,3
g0.05_d0.05_t0.005,20,<BOS> <BOS> <BOS> city remember dream,0.0029077903755714537,1
g0.05_d0.05_t0.005,20,<BOS> <BOS> why I am strange,0.004200549496666048,5
g0.05_d0.05_t0.005,20,<BOS> <BOS> why I am alive,0.004223075623517333,3
g0.05_d0.05_t0.005,20,<BOS> <BOS> why I am lost,0.004389353341071292,2
g0.05_d0.05_t0.005,20,<BOS> <BOS> <BOS> river remember river,0.019986759168635845,1
g0.05_d0.05_t0.005,20,<BOS> <BOS> <BOS> river hear city,0.020692638828800146,1
g0.05_d0.05_t0.005,20,"<BOS> city remember city , again",0.026315145654205525,2
g0.05_d0.05_t0.005,20,<BOS> <BOS> why you are alive,0.02986992534810663,5
g0.1_d0.05_t0.005,20,<BOS> <BOS> <BOS> dream follow dream,1.1345208516449502e-07,3
g0.1_d0.05_t0.005,20,<BOS> <BOS> why dream is alive,3.87601123412054e-05,1
g0.1_d0.05_t0.005,20,<BOS> <BOS> why dream is bright,4.0069940776704374e-05,1
g0.1_d0.05_t0.005,20,<BOS> <BOS> why I am alive,0.0020046232155210082,3
g0.1_d0.05_t0.005,20,<BOS> <BOS> why I am lost,0.002115045410264602,2
g0.1_d0.05_t0.005,20,<BOS> <BOS> why I am strange,0.0021428230571780703,5
g0.1_d0.05_t0.005,20,<BOS> <BOS> why you are alive,0.019858213602818746,5
g0.1_d0.05_t0.005,20,<BOS> <BOS> why you are bright,0.02086246201245786,2
g0.1_d0.05_t0.005,20,<BOS> <BOS> why you are lost,0.02086534378446947,1
g0.1_d0.05_t0.005,20,<BOS> <BOS> why you are strange,0.021120942075252582,6
g0.1_d0.05_t0.005,20,<BOS> <BOS> <BOS> <BOS> where I,0.023567022618743303,49
