run,epoch,family,count
g0.03_d0.05_t0.01,20,other,623
g0.03_d0.05_t0.01,20,early_question_mark,300
g0.03_d0.05_t0.01,20,are_for_am,271
g0.03_d0.05_t0.01,20,bad_terminal_transition,75
g0.03_d0.05_t0.01,20,repeat_or_stall,25
g0.03_d0.05_t0.01,20,is_for_object_noun,15
g0.02_d0.05_t0.01,20,other,640
g0.02_d0.05_t0.01,20,early_question_mark,442
g0.02_d0.05_t0.01,20,are_for_am,271
g0.02_d0.05_t0.01,20,bad_terminal_transition,65
g0.02_d0.05_t0.01,20,repeat_or_stall,4
g0.05_d0.05_t0.005,20,other,968
g0.05_d0.05_t0.005,20,early_question_mark,413
g0.05_d0.05_t0.005,20,are_for_am,271
g0.05_d0.05_t0.005,20,repeat_or_stall,152
g0.05_d0.05_t0.005,20,bad_terminal_transition,121
g0.1_d0.05_t0.005,20,other,1394
g0.1_d0.05_t0.005,20,early_question_mark,671
g0.1_d0.05_t0.005,20,bad_terminal_transition,42
g0.05_d0.05_t0.01,20,other,768
g0.05_d0.05_t0.01,20,early_question_mark,303
g0.05_d0.05_t0.01,20,are_for_am,271
g0.05_d0.05_t0.01,20,is_for_object_noun,116
g0.05_d0.05_t0.01,20,bad_terminal_transition,112
g0.05_d0.05_t0.01,20,repeat_or_stall,108
